"examiner_id","art_unit","gender","start_year","latest_date","tenure_days","tc","work_group"
59012,1716,"male",2004,2015-07-24,4013,1700,1710
59025,2465,"male",2009,2017-05-18,2761,2400,2460
59040,1724,"female",2007,2017-05-23,3542,1700,1720
59052,2138,"male",2001,2007-02-28,2017,2100,2130
59055,2165,"male",2004,2007-12-26,1149,2100,2160
59056,2124,"male",2000,2017-05-22,6268,2100,2120
59081,2489,"male",2011,2017-05-19,2220,2400,2480
59086,2487,"female",2010,2017-05-18,2527,2400,2480
59096,1612,"male",2000,2015-11-20,5800,1600,1610
59117,2439,"male",2009,2011-09-02,925,2400,2430
59122,2115,"male",2004,2015-11-20,4161,2100,2110
59125,2432,"male",2010,2017-05-19,2403,2400,2430
59126,2114,"male",2000,2016-09-23,6063,2100,2110
59130,2155,"male",2000,2017-04-28,6323,2100,2150
59133,1787,"male",2004,2017-05-19,4573,1700,1780
59141,2169,"female",2004,2017-05-19,4582,2100,2160
59152,2491,"male",2013,2017-05-22,1336,2400,2490
59165,1762,"female",2003,2008-07-30,2010,1700,1760
59181,2153,"female",2000,2017-05-19,6331,2100,2150
59196,1732,"male",2004,2006-06-15,790,1700,1730
59202,1733,"male",2011,2017-05-23,2076,1700,1730
59211,1644,"male",2000,2017-05-22,6332,1600,1640
59227,1734,"female",2000,2017-05-23,6349,1700,1730
59234,1775,"male",2000,2002-04-04,528,1700,1770
59236,1652,"female",2000,2017-05-22,6331,1600,1650
59255,2416,"male",2005,2010-09-22,1729,2400,2410
59256,1723,"male",2012,2014-08-08,760,1700,1720
59265,1648,"male",2000,2017-05-18,6330,1600,1640
59267,1638,"male",2004,2017-05-17,4590,1600,1630
59271,2454,"male",2010,2014-10-22,1455,2400,2450
59273,2172,"female",2000,2006-04-26,2249,2100,2170
59280,2483,"male",2010,2017-05-19,2559,2400,2480
59310,1716,"female",2014,2017-05-19,1103,1700,1710
59326,2196,"male",2012,2017-05-19,1878,2100,2190
59335,2112,"male",2004,2007-05-02,945,2100,2110
59338,1648,"male",2000,2017-05-23,6346,1600,1640
59346,2446,"male",2011,2013-06-14,793,2400,2440
59356,1742,"female",2000,2014-07-11,5288,1700,1740
59359,1734,"male",2005,2017-05-23,4521,1700,1730
59371,1711,"male",2000,2017-05-12,6339,1700,1710
59377,2139,"female",2003,2017-05-22,5136,2100,2130
59378,2442,"male",2012,2014-09-17,782,2400,2440
